dataset,año,columna,n_total,n_atipicos,porcentaje,limite_inferior,limite_superior
Crudo (con NAs),1990,apertura_comercial,215,9,4.19,-20.058353512430237,144.27888238744418
Limpio (Imputado),1990,apertura_comercial,215,13,6.05,-24.2102992733195,159.2587644458213
Crudo (con NAs),2001,apertura_comercial,215,8,3.72,-17.29428859941693,163.91720153116836
Limpio (Imputado),2001,apertura_comercial,215,12,5.58,-24.134404729795385,177.51256955508205
Crudo (con NAs),2010,apertura_comercial,215,7,3.26,-17.633045129534125,177.53245612577166
Limpio (Imputado),2010,apertura_comercial,215,12,5.58,-20.679590935932872,187.08258457052372
Crudo (con NAs),1990,ied_pct_pbi,215,15,6.98,-2.897007072186153,5.2346846517553764
Limpio (Imputado),1990,ied_pct_pbi,215,14,6.51,-3.4185400270395374,6.384611615709787
Crudo (con NAs),2001,ied_pct_pbi,215,19,8.84,-5.0186207580188675,10.234032639323873
Limpio (Imputado),2001,ied_pct_pbi,215,22,10.23,-4.894606527199628,9.965144954621074
Crudo (con NAs),2010,ied_pct_pbi,215,20,9.3,-5.980541417897521,13.74023956144032
Limpio (Imputado),2010,ied_pct_pbi,215,25,11.63,-6.089112066083624,13.929677704017934
Crudo (con NAs),1990,pbi_crec,215,13,6.05,-8.938457230744653,14.323165956872124
Limpio (Imputado),1990,pbi_crec,215,17,7.91,-8.282094484143972,13.559590194375735
Crudo (con NAs),2001,pbi_crec,215,14,6.51,-4.8355306665412,10.99165083220868
Limpio (Imputado),2001,pbi_crec,215,16,7.44,-4.72525110242599,11.21245813475189
Crudo (con NAs),2010,pbi_crec,215,7,3.26,-5.877365775391896,13.998310110909413
Limpio (Imputado),2010,pbi_crec,215,8,3.72,-5.902612484608793,14.085350244750067
